File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
jedi/__init__.py,0,0,8,8,0,0,8,8,0,
jedi/api/__init__.py,30,235,308,308,0,205,278,73,-205,
jedi/api/classes.py,40,200,298,298,0,160,258,98,-160,
jedi/api/completion.py,71,326,380,380,0,255,309,54,-255,
jedi/api/completion_cache.py,7,11,22,22,0,4,15,11,-4,
jedi/api/environment.py,53,160,212,212,0,107,159,52,-107,
jedi/api/errors.py,0,7,19,19,0,7,19,12,-7,
jedi/api/exceptions.py,0,0,5,5,0,0,5,5,0,
jedi/api/file_name.py,51,103,114,114,0,52,63,11,-52,
jedi/api/helpers.py,34,280,331,331,0,246,297,51,-246,
jedi/api/interpreter.py,7,16,34,34,0,9,27,18,-9,
jedi/api/keywords.py,21,21,32,32,0,0,11,11,0,
jedi/api/project.py,10,158,219,219,0,148,209,61,-148,
jedi/api/refactoring/__init__.py,110,133,156,156,0,23,46,23,-23,
jedi/api/refactoring/extract.py,4,211,239,239,0,207,235,28,-207,
jedi/api/replstartup.py,0,0,5,5,0,0,5,5,0,
jedi/api/strings.py,3,49,65,65,0,46,62,16,-46,
jedi/cache.py,8,40,66,66,0,32,58,26,-32,
jedi/common.py,0,11,15,15,0,11,15,4,-11,
jedi/debug.py,10,39,75,75,0,29,65,36,-29,
jedi/file_io.py,10,29,52,52,0,19,42,23,-19,
jedi/inference/__init__.py,19,77,108,108,0,58,89,31,-58,
jedi/inference/analysis.py,73,98,120,120,0,25,47,22,-25,
jedi/inference/arguments.py,124,158,211,211,0,34,87,53,-34,
jedi/inference/base_value.py,105,196,319,319,0,91,214,123,-91,
jedi/inference/cache.py,1,44,74,74,0,43,73,30,-43,
jedi/inference/compiled/__init__.py,10,25,35,35,0,15,25,10,-15,
jedi/inference/compiled/access.py,113,249,328,328,0,136,215,79,-136,
jedi/inference/compiled/getattr_static.py,4,58,69,69,0,54,65,11,-54,
jedi/inference/compiled/mixed.py,28,113,161,161,0,85,133,48,-85,
jedi/inference/compiled/subprocess/__init__.py,21,168,226,226,0,147,205,58,-147,
jedi/inference/compiled/subprocess/functions.py,41,119,150,150,0,78,109,31,-78,
jedi/inference/compiled/value.py,128,258,382,382,0,130,254,124,-130,
jedi/inference/context.py,69,196,291,291,0,127,222,95,-127,
jedi/inference/docstring_utils.py,0,7,15,15,0,7,15,8,-7,
jedi/inference/docstrings.py,64,111,136,136,0,47,72,25,-47,
jedi/inference/dynamic_params.py,32,95,120,120,0,63,88,25,-63,
jedi/inference/filters.py,34,114,213,213,0,80,179,99,-80,
jedi/inference/finder.py,59,71,84,84,0,12,25,13,-12,
jedi/inference/flow_analysis.py,19,65,84,84,0,46,65,19,-46,
jedi/inference/gradual/__init__.py,0,0,0,0,0,0,0,0,0,
jedi/inference/gradual/annotation.py,154,200,236,236,0,46,82,36,-46,
jedi/inference/gradual/base.py,158,158,233,233,0,0,75,75,0,
jedi/inference/gradual/conversion.py,24,123,139,139,0,99,115,16,-99,
jedi/inference/gradual/generics.py,35,35,62,62,0,0,27,27,0,
jedi/inference/gradual/stub_value.py,13,41,67,67,0,28,54,26,-28,
jedi/inference/gradual/type_var.py,64,64,84,84,0,0,20,20,0,
jedi/inference/gradual/typeshed.py,24,131,163,163,0,107,139,32,-107,
jedi/inference/gradual/typing.py,158,158,245,245,0,0,87,87,0,
jedi/inference/gradual/utils.py,17,17,20,20,0,0,3,3,0,
jedi/inference/helpers.py,32,96,120,120,0,64,88,24,-64,
jedi/inference/imports.py,19,239,287,287,0,220,268,48,-220,
jedi/inference/lazy_value.py,9,17,35,35,0,8,26,18,-8,
jedi/inference/names.py,111,316,456,456,0,205,345,140,-205,
jedi/inference/param.py,111,111,127,127,0,0,16,16,0,
jedi/inference/parser_cache.py,0,1,4,4,0,1,4,3,-1,
jedi/inference/recursion.py,23,42,66,66,0,19,43,24,-19,
jedi/inference/references.py,83,167,197,197,0,84,114,30,-84,
jedi/inference/signature.py,23,71,106,106,0,48,83,35,-48,
jedi/inference/star_args.py,44,134,148,148,0,90,104,14,-90,
jedi/inference/syntax_tree.py,305,506,568,568,0,201,263,62,-201,
jedi/inference/sys_path.py,40,127,150,150,0,87,110,23,-87,
jedi/inference/utils.py,12,17,43,43,0,5,31,26,-5,
jedi/inference/value/__init__.py,0,0,4,4,0,0,4,4,0,
jedi/inference/value/decorator.py,10,10,16,16,0,0,6,6,0,
jedi/inference/value/dynamic_arrays.py,83,83,110,110,0,0,27,27,0,
jedi/inference/value/function.py,130,216,297,297,0,86,167,81,-86,
jedi/inference/value/instance.py,158,223,345,345,0,65,187,122,-65,
jedi/inference/value/iterable.py,217,256,385,385,0,39,168,129,-39,
jedi/inference/value/klass.py,83,156,213,213,0,73,130,57,-73,
jedi/inference/value/module.py,17,83,128,128,0,66,111,45,-66,
jedi/inference/value/namespace.py,1,18,45,45,0,17,44,27,-17,
jedi/parser_utils.py,26,164,201,201,0,138,175,37,-138,
jedi/plugins/__init__.py,0,1,31,31,0,1,31,30,-1,
jedi/plugins/django.py,98,103,162,162,0,5,64,59,-5,
jedi/plugins/flask.py,6,8,11,11,0,2,5,3,-2,
jedi/plugins/registry.py,0,0,6,6,0,0,6,6,0,
jedi/plugins/stdlib.py,295,303,449,449,0,8,154,146,-8,
jedi/settings.py,2,2,31,31,0,0,29,29,0,
jedi/utils.py,9,23,47,47,0,14,38,24,-14,
,4007,8671,11818,11818,0,4664,7811,3147,-4664,Total
