File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
SoftLayer/API.py,79,187,234,234,0,108,155,47,-108,
SoftLayer/CLI/__init__.py,0,0,1,1,0,0,1,1,0,
SoftLayer/CLI/call_api.py,0,60,87,87,0,60,87,27,-60,
SoftLayer/CLI/command.py,10,117,153,153,0,107,143,36,-107,
SoftLayer/CLI/config/__init__.py,1,26,30,30,0,25,29,4,-25,
SoftLayer/CLI/config/setup.py,71,133,157,157,0,62,86,24,-62,
SoftLayer/CLI/core.py,8,81,119,119,0,73,111,38,-73,
SoftLayer/CLI/custom_types.py,0,8,12,12,0,8,12,4,-8,
SoftLayer/CLI/dns/__init__.py,0,0,0,0,0,0,0,0,0,
SoftLayer/CLI/dns/zone_import.py,12,50,65,65,0,38,53,15,-38,
SoftLayer/CLI/environment.py,7,98,132,132,0,91,125,34,-91,
SoftLayer/CLI/exceptions.py,1,7,15,15,0,6,14,8,-6,
SoftLayer/CLI/formatting.py,16,256,315,315,0,240,299,59,-240,
SoftLayer/CLI/helpers.py,0,10,20,20,0,10,20,10,-10,
SoftLayer/CLI/routes.py,0,0,2,2,0,0,2,2,0,
SoftLayer/CLI/template.py,1,30,37,37,0,29,36,7,-29,
SoftLayer/CLI/ticket/__init__.py,0,30,36,36,0,30,36,6,-30,
SoftLayer/__init__.py,0,0,12,12,0,0,12,12,0,
SoftLayer/auth.py,9,28,48,48,0,19,39,20,-19,
SoftLayer/config.py,6,36,48,48,0,30,42,12,-30,
SoftLayer/consts.py,0,0,7,7,0,0,7,7,0,
SoftLayer/decoration.py,0,13,24,24,0,13,24,11,-13,
SoftLayer/exceptions.py,6,11,33,33,0,5,27,22,-5,
SoftLayer/fixtures/SoftLayer_Account.py,0,0,50,50,0,0,50,50,0,
SoftLayer/fixtures/SoftLayer_Hardware_Server.py,0,0,40,40,0,0,40,40,0,
SoftLayer/fixtures/SoftLayer_Network_LBaaS_LoadBalancer.py,0,0,8,8,0,0,8,8,0,
SoftLayer/fixtures/SoftLayer_Network_Storage.py,0,0,22,22,0,0,22,22,0,
SoftLayer/fixtures/SoftLayer_Network_Storage_Allowed_Host.py,0,0,6,6,0,0,6,6,0,
SoftLayer/fixtures/SoftLayer_Network_Vlan.py,0,0,7,7,0,0,7,7,0,
SoftLayer/fixtures/SoftLayer_Product_Order.py,0,0,10,10,0,0,10,10,0,
SoftLayer/fixtures/SoftLayer_Product_Package.py,0,0,31,31,0,0,31,31,0,
SoftLayer/fixtures/SoftLayer_Search.py,0,0,4,4,0,0,4,4,0,
SoftLayer/fixtures/SoftLayer_User_Customer.py,0,0,23,23,0,0,23,23,0,
SoftLayer/fixtures/SoftLayer_Virtual_DedicatedHost.py,0,0,5,5,0,0,5,5,0,
SoftLayer/fixtures/SoftLayer_Virtual_Guest.py,0,0,28,28,0,0,28,28,0,
SoftLayer/fixtures/__init__.py,0,0,0,0,0,0,0,0,0,
SoftLayer/managers/__init__.py,0,0,28,28,0,0,28,28,0,
SoftLayer/managers/account.py,1,81,113,113,0,80,112,32,-80,
SoftLayer/managers/bandwidth.py,0,12,20,20,0,12,20,8,-12,
SoftLayer/managers/block.py,0,37,56,56,0,37,56,19,-37,
SoftLayer/managers/cdn.py,21,100,121,121,0,79,100,21,-79,
SoftLayer/managers/dedicated_host.py,1,135,160,160,0,134,159,25,-134,
SoftLayer/managers/dns.py,0,66,90,90,0,66,90,24,-66,
SoftLayer/managers/email.py,0,13,21,21,0,13,21,8,-13,
SoftLayer/managers/event_log.py,0,23,30,30,0,23,30,7,-23,
SoftLayer/managers/file.py,0,31,43,43,0,31,43,12,-31,
SoftLayer/managers/firewall.py,0,91,112,112,0,91,112,21,-91,
SoftLayer/managers/hardware.py,25,447,524,524,0,422,499,77,-422,
SoftLayer/managers/image.py,0,65,85,85,0,65,85,20,-65,
SoftLayer/managers/ipsec.py,0,78,102,102,0,78,102,24,-78,
SoftLayer/managers/license.py,16,16,26,26,0,0,10,10,0,
SoftLayer/managers/load_balancer.py,0,75,104,104,0,75,104,29,-75,
SoftLayer/managers/metadata.py,3,33,46,46,0,30,43,13,-30,
SoftLayer/managers/network.py,11,258,329,329,0,247,318,71,-247,
SoftLayer/managers/object_storage.py,0,18,30,30,0,18,30,12,-18,
SoftLayer/managers/ordering.py,1,231,279,279,0,230,278,48,-230,
SoftLayer/managers/search.py,8,45,52,52,0,37,44,7,-37,
SoftLayer/managers/sshkey.py,0,23,32,32,0,23,32,9,-23,
SoftLayer/managers/ssl.py,0,11,18,18,0,11,18,7,-11,
SoftLayer/managers/storage.py,3,108,145,145,0,105,142,37,-105,
SoftLayer/managers/storage_utils.py,1,384,413,413,0,383,412,29,-383,
SoftLayer/managers/tags.py,0,78,97,97,0,78,97,19,-78,
SoftLayer/managers/ticket.py,0,31,44,44,0,31,44,13,-31,
SoftLayer/managers/user.py,3,155,200,200,0,152,197,45,-152,
SoftLayer/managers/vs.py,12,442,507,507,0,430,495,65,-430,
SoftLayer/managers/vs_capacity.py,0,62,77,77,0,62,77,15,-62,
SoftLayer/managers/vs_placement.py,0,22,36,36,0,22,36,14,-22,
SoftLayer/transports/__init__.py,0,0,8,8,0,0,8,8,0,
SoftLayer/transports/debug.py,0,22,33,33,0,22,33,11,-22,
SoftLayer/transports/fixture.py,0,12,17,17,0,12,17,5,-12,
SoftLayer/transports/rest.py,0,80,98,98,0,80,98,18,-80,
SoftLayer/transports/timing.py,0,11,18,18,0,11,18,7,-11,
SoftLayer/transports/transport.py,1,43,59,59,0,42,58,16,-42,
SoftLayer/transports/xmlrpc.py,0,56,72,72,0,56,72,16,-56,
SoftLayer/utils.py,21,137,182,182,0,116,161,45,-116,
,355,4713,6248,6248,0,4358,5893,1535,-4358,Total
